Naturopathic/Holistic,Naturopathic,Holistic
Health & Medical,Health,Medical
Home & Garden,Home,Garden
Coffee & Tea,Coffee,Tea
Ice Cream & Frozen Yogurt,Ice_cream,Frozen_yogurt
Breakfast & Brunch,Breakfast,Brunch
Auto Parts & Supplies,Auto_part,Supply
Vitamins & Supplements,Vitamin,Supplement
Hotels & Travel,Hotel,Travel
Music & Video,Music,Video
Arts & Entertainment,Art,Entertainment
Event Planning & Services,Event_planning,Service
IT Services & Computer Repair,,Computer_repair
Beauty & Spas,Beauty,Spa
Jazz & Blues,Jazz,Blue
Fitness & Instruction,,Instruction
Juice Bars & Smoothies,Juice_bar,Smoothy
Eyewear & Opticians,Eyewear,Optician
Appliances & Repair,Appliance,Repair
Chocolatiers & Shops,Chocolatier,Shop
Baby Gear & Furniture,Baby_gear,Furniture
Banks & Credit Unions,Bank,Credit_union
Wine & Spirits,Wine,Spirit
Keys & Locksmiths,Key,Locksmith
Venues & Event Spaces,Venue,Event_space
Fruits & Veggies,Fruit,Veggies
Masonry/Concrete,Masonry,Concrete
Party & Event Planning,Party,Event_planning
Cajun/Creole,Cajun,Creole
Couriers & Delivery Services,Courier,Delivery_service
Public Services & Government,Public_service,Government
Flowers & Gifts,Flower,Gift
Embroidery & Crochet,Embroidery,Crochet
Arts & Crafts,Art,Craft
Child Care & Day Care,Child_care,Day_care
Glass & Mirrors,Glas,Mirror
Door Sales/Installation,,Installation
Hot Tub & Pool,Hot_tub,Pool
Pool & Hot Tub Service,Pool,
Patisserie/Cake Shop,Patisserie,Cake_shop
Live/Raw Food,Live,Raw_food
Decks & Railing,Deck,Railing
Bed & Breakfast,Bed,Breakfast
Stadiums & Arenas,Stadium,Arena
Music & DVDs,Music,Dvd
Windshield Installation & Repair,,Repair
Obstetricians & Gynecologists,Obstetrician,Gynecologist
ATV Rentals/Tours,,Tour
Tapas/Small Plates,Tapa,
Hunting & Fishing Supplies,Hunting,
Bike Repair/Maintenance,Bike_repair,Maintenance
Photography Stores & Services,,Service
Blow Dry/Out Services,Blow_dry,
Sewing & Alterations,Sewing,Alteration
Dry Cleaning & Laundry,Dry_cleaning,Laundry
Musical Instruments & Teachers,Musical_instrument,Teacher
Community Service/Non-Profit,Community_service,Non-profit
Counseling & Mental Health,Counseling,Mental_health
Kitchen & Bath,Kitchen,Bath
Laser Eye Surgery/Lasik,Laser_eye_surgery,Lasik
Nurseries & Gardening,Nurseries,Gardening
Cosmetics & Beauty Supply,Cosmetic,
Heating & Air Conditioning/HVAC,,Hvac
Junk Removal & Hauling,Junk_removal,Hauling
Pool & Billiards,Pool,Billiard
Paint & Sip,Paint,Sip
Guns & Ammo,Gun,Ammo
Fences & Gates,Fence,Gate
Wheel & Rim Repair,Wheel,
Swimming Lessons/Schools,Swimming_lesson,School
Rafting/Kayaking,Rafting,Kayaking
Fish & Chips,Fish,Chip
Vintage & Consignment,Vintage,Consignment
Videos & Video Game Rental,Video,Video_game_rental
Herbs & Spices,Herb,Spice
Water Heater Installation/Repair,,Repair
Landmarks & Historical Buildings,Landmark,Historical_building
Lighting Fixtures & Equipment,Lighting_fixture,Equipment
Passport & Visa Services,Passport,
Shades & Blinds,Shade,Blind
Vocational & Technical School,Vocational,Technical_school
Divorce & Family Law,Divorce,Family_law
Generator Installation/Repair,,Repair
Ear Nose & Throat,,Throat
Drywall Installation & Repair,,Repair
Gun/Rifle Ranges,Gun,Rifle_range
Recording & Rehearsal Studios,Recording,Rehearsal_studio
Screen Printing/T-Shirt Printing,Screen_printing,T-shirt_printing
Persian/Iranian,Persian,Iranian
Blood & Plasma Donation Centers,Blood,
Funeral Services & Cemeteries,Funeral_service,Cemetery
Jails & Prisons,Jail,Prison
Mobility Equipment Sales & Services,,Service
Home & Rental Insurance,Home,
Cards & Stationery,Card,Stationery
Middle Schools & High Schools,Middle_school,High_school
Motorcycle Parts & Supplies,,Supply
Fitness/Exercise Equipment,,Exercise_equipment
Livestock Feed & Supply,Livestock_feed,Supply
Machine & Tool Rental,Machine,Tool_rental
Newspapers & Magazines,Newspaper,Magazine
Colleges & Universities,College,University
Ski & Snowboard Shops,Ski,
Trusts & Probates,Trust,Probate
Prenatal/Perinatal Care,Prenatal,Perinatal_care
Video/Film Production,Video,Film_production
Himalayan/Nepalese,Himalayan,Nepalese
Hypnosis/Hypnotherapy,,Hypnotherapy
Gemstones & Minerals,Gemstone,Mineral
Coffee & Tea Supplies,Coffee,
Races & Competitions,Race,Competition
Audio/Visual Equipment Rental,Audio,
Undersea/Hyperbaric Medicine,Undersea,Hyperbaric_medicine
Opera & Ballet,Opus,Ballet
Boat Parts & Supplies,,Supply
IP & Internet Law,Ip,Internet_law
Sheds & Outdoor Storage,Shed,
Sauna Installation & Repair,,Repair
