Business_Checkins,Amount
-QI8Qi8XWH3D8y8ethnajA,52144
FEXhWNCMkv22qG04E83Qjg,40109
Eb1XmmLWyt_way5NNZ7-Pw,37562
c_4c5rJECZSfNgFj7frwHQ,37518
4i4kmYm9wgSNyF1b6gKphg,31168
8O35ji_yOMVJmZ6bl96yhQ,29606
VQcCL9PiNL_wkGf-uF3fjg,28927
ac1AeYqs8Z4_e2X5M3if2A,21542
QTbahs-GVuWYL5yfdjH34A,21487
ytynqOUb3hjKeJfRj5Tshw,18615
_ab50qdWOk0DdB6XOrBitw,15205
h0wHeh0hTt6Us4W-1SHQOw,13420
onp9X_9RRAEzA-yqdiSOcA,13244
wz8ZPfySQczcPgSyd33-HQ,10478
oBNrLz4EDhiscSlbOl8uAw,10209
6Ty-KKWq6hLZYW8DWEHYvg,10135
Aa0EldaVchavAAWL1DIJCw,10089
Xq-8-I0U8Artr7d70SjX-g,10063
qb28j-FNX1_6xm7u372TZA,9574
U4X-tzwvTzW8uWxs2KIPtg,9464
GBTPC53ZrG1ZBY3DT8Mbcw,9390
iSRTaT9WngzB8JJ2YKJUig,9034
gTC8IQ_i8zXytWSly3Ttvg,8855
6a4gLLFSgr-Q6CZXDLzBGQ,8503
qclZoDz3sjT7v5xOSj5P2Q,8092
PY9GRfzr4nTZeINf346QOw,7887
GXFMD0Z4jEVZBCsbPf4CTQ,7848
mcr1lAEdvGLMJhuPwI3I2A,7739
i1UAowqVH1cCkXudBRDwdA,7639
ld_H5-FpZOWm_tkzwkPYQQ,7515
PP3BBaVxZLcJU54uP_wL6Q,7264
_C7QiQQc47AOEv4PE3Kong,7261
VaO-VW3e1kARkU9bP1E7Fw,7146
dGUyXgFW1WSYMgRypKaYew,7118
QaOTMn7BVBx3xXrjRlVnCw,7038
QHWYlmVbLC3K6eglWoHVvA,6820
U3grYFIeu6RgAAQgdriHww,6528
Y2Pfil51rNvTd_lFHwzb_g,6459
AGlh4ZDv6jnoiYfz7At9mw,6377
ta5Oi3sezvn4H299MbtE8Q,6365
yPSejq3_erxo9zdVYTBnZA,6356
VVH6k9-ycttH3TV_lk5WfQ,6326
BbnL_wJLB-EHvFx0dXuAjg,6279
I_3LMZ_1m2mzR0oLIOePIg,6178
SZU9c8V2GuREDN5KgyHFJw,6148
gGyqnAlpFrka_qzpO7j4lQ,5905
XScJI9exHgC0u_c3vmm1vQ,5796
EagkHaaC-kUozD3MPzbRIw,5678
DcBLYSvOuWcNReolRVr12A,5672
j-qtdD55OLfSqfsWuQTDJg,5569
