Business_reviews,Amount
_ab50qdWOk0DdB6XOrBitw,7673
ac1AeYqs8Z4_e2X5M3if2A,7516
GXFMD0Z4jEVZBCsbPf4CTQ,6160
ytynqOUb3hjKeJfRj5Tshw,5778
oBNrLz4EDhiscSlbOl8uAw,5264
iSRTaT9WngzB8JJ2YKJUig,5254
VQcCL9PiNL_wkGf-uF3fjg,5146
_C7QiQQc47AOEv4PE3Kong,4969
GBTPC53ZrG1ZBY3DT8Mbcw,4661
6a4gLLFSgr-Q6CZXDLzBGQ,4480
PP3BBaVxZLcJU54uP_wL6Q,4293
1b5mnK8bMnnju_cvU65GqQ,4247
I_3LMZ_1m2mzR0oLIOePIg,4093
VaO-VW3e1kARkU9bP1E7Fw,4034
qb28j-FNX1_6xm7u372TZA,3971
gTC8IQ_i8zXytWSly3Ttvg,3917
yPSejq3_erxo9zdVYTBnZA,3889
wz8ZPfySQczcPgSyd33-HQ,3634
VVH6k9-ycttH3TV_lk5WfQ,3633
IkY2ticzHEn4QFn8hQLSWg,3428
QHWYlmVbLC3K6eglWoHVvA,3388
9PZxjhTIU7OgPIzuGi89Ew,3264
DcBLYSvOuWcNReolRVr12A,3217
XnQ84ylyAZwh-XfHGGNBbQ,3210
L5LLN0RafiV1Z9cddzvuCw,3179
ctHjyadbDQAtUFfkcAFEHw,3173
VAeEXLbEcI9Emt9KGYq9aA,3105
dsfRniRgfbDjC8os848B6A,3028
U3grYFIeu6RgAAQgdriHww,3003
6ajnOk0GcY9xbb5Ocaw8Gw,2974
3YqUe2FTCQr0pPVK8oCv6Q,2916
C9K3579SJgLPp0oAOM29wg,2909
j-qtdD55OLfSqfsWuQTDJg,2884
oIH5YWPy_g61YXM6R900Wg,2794
ww3YJXu5c18aGZXWmm00qg,2790
AGlh4ZDv6jnoiYfz7At9mw,2778
sTPueJEwcRDj7ZJmG7okYA,2769
0RuvlgTnKFbX3IK0ZOOocA,2733
RQAF6a0akMiot5lZZnMNNw,2725
Y2Pfil51rNvTd_lFHwzb_g,2722
PY9GRfzr4nTZeINf346QOw,2715
xlMQBBt9wrtahdqiRDcVSg,2618
skY6r8WAkYqpV7_TxNm23w,2588
8pqdJjefYq-a9IBSJJmKwA,2577
J0joPXxmN-_9Lzafspqdbw,2552
RLlOK2fL6xU1sfIPiP2QBw,2514
9xdXS7jtWjCVzL4_oPGv9A,2502
OWOOc0YjU_kioLeEgo5VCA,2480
ChlcxTEoWBQJXJ2Xb2vm5g,2450
mhrW9O0O5hXGXGnEYBVoag,2449
SZU9c8V2GuREDN5KgyHFJw,2444
EagkHaaC-kUozD3MPzbRIw,2440
6Ty-KKWq6hLZYW8DWEHYvg,2396
6Pu5MKIWbn6FO-oebSSrYQ,2339
DXDoh8MNrqjtXsZnkuk4hA,2335
UFCN0bYdHroPKu6KV5CJqg,2312
ntiIq1FNqduOyyowMFGh5A,2255
IWHdx0NhDKADkGOgXgOFKQ,2245
OdIBX09glfXNVSyd0RnIeg,2241
3iUCCf1FWmjlFbGYvBgf9w,2240
-QI8Qi8XWH3D8y8ethnajA,2235
UCMSWPqzXjd7QHq7v8PJjQ,2230
TcNZXteosegb1RO4O5hREw,2223
BjeHLwKOlHyV6DJgmZxAjA,2178
PGd06nrseC2YAIqP6S9gUA,2176
iRIHK8-EwpeffwvoO4nzIA,2170
S8ZFYEgMejpChID8tzKo9A,2162
vN6v8m4DO45Z4pp8yxxF_w,2120
W4ZEKkva9HpAdZG88juwyQ,2116
8uF-bhJFgT4Tn6DTb27viA,2110
qQO7ErS_RAN4Vs1uX0L55Q,2100
pSmOH4a3HNNpYM82J5ycLA,2091
75FY8ZQx5nOWP0VFmNvWfw,2083
ReV4Q3rEJ8neicQPc6pC0w,2079
kZ1q0K13tFYG_ZJrVvsJHA,2076
gVU0U7gNBMQxKTzqmRtdLg,2067
iwmW2mgcn2YdirXUHCsgXQ,2064
hfbZ97Te3T4jeWN6GgsGrQ,2050
2BMk_drsikKWslJCXmQtjQ,2023
c-iKAO2GBzSKjm7y1Oljcw,2018
Zi-F-YvyVOK0k5QD7lrLOg,2008
Vz2RN55rTJBGn43K1v84nA,1974
i_FWONQD1ZBqrNE2b-M5Ug,1964
V9VLhHdSFpFi4yXFqVcVEA,1956
q-zV08jt6U-q05SMEuQJAQ,1952
6_T2xzR74JqGCTPefAD8Tw,1943
p_qSQwShIgQnNxGcajI4-w,1938
2OXCAbz3x_MrQSYj1zarIA,1937
U4X-tzwvTzW8uWxs2KIPtg,1915
c_4c5rJECZSfNgFj7frwHQ,1896
FEXhWNCMkv22qG04E83Qjg,1894
g04aAvgol7IW8buqSbT4xA,1891
jbJTF1zVmZsk4hea8hoeVA,1872
Ps7Q7BOKzJO4nDTUhbk43Q,1869
GuzbBFraIq-fbkjfvaTRvg,1862
Eb1XmmLWyt_way5NNZ7-Pw,1850
e5fCI12X_GLCST668S4ROA,1845
-Tskf8WK17rb3ZfeFuRSWA,1841
fCDMLD21ypv1XZ_EyafCkQ,1812
n_fUROdhfmLwd_mpBi55ew,1810
6RBZfirnzE4NahJTn1UPNA,1802
R8t9g5nvi7VFyS8zsgmj8Q,1788
cQIh4YJlVtZI9TLF5_smOg,1781
Zx7n8mdt8OzLRXVzolXNhQ,1761
iUZEGx29miZObLd6_lt7Vg,1760
Sv1MEZP-mMfp8SmE0hwYEA,1753
GST3wg-wej15vHeCvaXE6w,1749
t9LiapsQABwMQeiF1Czl6w,1739
WxB8498ejPtHE7wFa89_fA,1732
-mIlmp5l4hKlp1tvHRdvTg,1716
8UPv1p9GW-BiZtQqUt8nOA,1706
vWjME92WddneF98IqzaNfQ,1705
S_jfDqc2TUhkraTpeZgqjg,1689
yz0KWVamNhqiZGz7XTClzg,1672
ORL4JE6tz3rJxVqkdKfegA,1670
teFjQxUqT8c-yxQdoILDVQ,1663
8yR12PNSMo6FBYx1u5KPlw,1658
ve_-rPlEGPClytyJtY55Vw,1653
7Iv-6B0EH-yVo5o_VnykWw,1650
u7uFQCoHFtBKCtbWUm6yZw,1635
WXgV2lOUgas7DzTLeDau-w,1631
-VlBFlHwX-Pt6Xyzs9roGw,1627
ku8cAVBLaF_4rI-yK6gNnQ,1622
qclZoDz3sjT7v5xOSj5P2Q,1621
PlaECqs3oPBRo47p85zkzw,1620
ld_H5-FpZOWm_tkzwkPYQQ,1620
LZzDvgfpkd4nI3E4L9wF1w,1617
M0r9lUn2gLFYgIwIfG8-bQ,1614
S2Ho8yLxhKAa26pBAm6rxA,1611
LM54ufrINJWoTN5imV8Etw,1609
EtKSTHV5Qx_Q7Aur9o4kQQ,1603
4SRl5od0lY33oK1GMbA23A,1593
nIAbuktMEzVjT4P9pG89rQ,1593
EtM079Cj7-B3G7jPsGYb_Q,1590
Jzb2IQSwPfULWzdl9Bq5fg,1584
7pwFfnB6FH4lflXWrQ2Tqw,1584
2KIDQyTh-HzLxOUEDqtDBg,1583
oGDGlUbOjHxmmCh8ZYcDCg,1562
znlrxrY4InSx7ekPZxoHRw,1553
Gb5nFcTgOBWeMrmCIbxqJA,1549
qISf5ojuYbD9h71NumGUQA,1543
edJoBsse6nsF0BYh6pATAg,1536
9w-LZEkP1hf363G-OYvKDg,1534
3Wy21heeDm8h2tSZfcj6OA,1534
K7KHmHzxNwzqiijSJeKe_A,1530
KXecZki-_3N7afs6HKWM3A,1513
nk96iwJV1_p2HECYQW1ysA,1499
rgeuy1qbw6Z8B6CSVANHIA,1497
2CDI713ATuxHfnB5b-sBdw,1492
tthy48ZIX_wfY8Dy0Dvg6w,1487
24f-qQokEN2UvBNHMWLm3A,1485
dGUyXgFW1WSYMgRypKaYew,1485
RqW9S4WG9UYZHKhHRHXJZg,1479
l4IeGBHXV2E8S8COd9rx9A,1477
4szMVHmGXodrVGw4Zhev9g,1476
poviu-6n3iaRE4gdQz6OYw,1471
Bj7DL3SwmYHZYqPduAsa2w,1465
cGX-1IUwXOjkUqZbkKYcjw,1459
nYsNsyIppe_DTueBha1x9A,1458
2DTkzhmMpv5fIPKheePClA,1457
TV81bpCQ6p6o4Hau5hk-zw,1456
8NyDM-FDoWEEeEG9XUwnbg,1456
NHb6QTrJOnyIj-Zd0fYzFg,1453
3WU1ZobAqXQ07xYoKE2Vyg,1452
8A5LSwsKK5vXDH1M3_Tf1w,1449
cXSyVvOr9YRN9diDkaWs0Q,1444
cE_gYW3CHEducTkEyxTDdA,1437
-FM4CxOg4XXmX_Ebky_SiQ,1434
LdECsE8lJS7v5GTFTcjPSg,1426
nRKndeZLQ3eDL10UMwS2rQ,1424
S2n_06z4lGLZfdJ53XAXQQ,1422
EQ-TZ2eeD_E0BHuvoaeG5Q,1421
59-56qbtgwGigLNNsZiVZQ,1414
ta5Oi3sezvn4H299MbtE8Q,1411
atZ_olNKXOG4rEr6mccN8g,1406
1Vo4BLw75ntATAJHYsxO3g,1399
bp5Mk2d0qofUeF5uLauIbg,1391
jkGQQ4_LgJx3hwPtCFkzbQ,1382
8YDJraW_cg5IPTPisPfB-A,1380
IZZ_uR2ps5KuuyE0n--jVA,1379
AFYI0sfZ6WdVELjjEYOIpw,1359
UGefDZNmnBztS0eoXWtHyQ,1359
zZ01WQlcpI1_n806WKV3bA,1355
FaY_9x8ZtsuHe5wS2iJM1Q,1354
R17gwW6zn9ilslbdvKdgsg,1354
UeYZgcORV2Veo_BZzdiaTg,1354
16tjKOvMw_nOgNViq2LwOQ,1352
I3Uy20BKx7G-Fzz6hLIeWg,1350
pXRrRf8fDv6yU3xp1E25hA,1347
ZKPrXH_GNW_AtZ31tP3NmA,1337
1jeaxiZOisgDMxHR2K088g,1334
pym7c6ZFEtmoH16xN2ApBg,1333
tV46IhCfHbsx_af-pMupiw,1331
quk6TFDQyuQ4g0KuIb9qUA,1330
0oSSjekU-3GR8gselReWnA,1330
muxda1cSVtplETqTfYVgZA,1329
BbnL_wJLB-EHvFx0dXuAjg,1329
lEi0T3m96A2NXXDSn7569A,1329
hExi86DTBlmIhB2FLvqrHg,1328
jxEMFqwDJXjCxmcm5t5jVQ,1324
w9grvGu-5bHNucOeReHzfA,1323
EME5hqQLjBD7e2cLryupbA,1320
Iw8uqNPxviwcgxtruAx_LA,1319
0d1dpaZqcm7litFOJl7atA,1315
hy-E7DdXbdgTbwphKUYW1w,1314
4_OXOjAUA9Q8L6VdZz692w,1308
XuQ5ekbJ9eRUX06JTqJHaQ,1302
Rl42JbSMsmNW3LRjsTMYAg,1296
9HvjjSwxxubIhG6E_sObfQ,1296
-OKB11ypR4C8wWlonBFIGw,1295
GoYSJ-YY-YwbxdgasHuq-Q,1295
FEBwxZMEpxRwVXx9Fm0XZw,1294
rSYyGcZZziJLsqKl5hMcDw,1292
QaFbv7aLQBcfT4xMF1_WnQ,1290
I_mCFePUG2MGuH-zuws7bA,1284
ReX09lhufLTAx19krkltDA,1284
TDKBPcViJQDMrdUm6a9XZA,1282
qY-BUQY-SFBaSrFHowF3nA,1274
WSx9-iYYyST_umny9sJBFg,1253
-lX4ufgPLYubI8rVxNM31w,1252
9cu2p2Z925hHkWHVyrp1JQ,1251
ltBBYdNzkeKdCNPDAsxwAA,1247
fVUurZgbWXzp2QzDzJzmpA,1246
9ugpNKKhnYRa51qXoxUw_A,1246
Z_WZq3uFGqvtjsFl6kNBQA,1243
g-YOzV9YIPmo6vZBHQuuUg,1239
SJIQFKTW6uUsOo29w9IHxw,1233
GmXC3CBu172Bkb0c6RnO7w,1231
EQP8f7Rq5KXknJixlwxZEw,1230
TwnzM8mJn_nT2PJf1x-9kQ,1225
DKtAKuOjI6vUAHhW4NR5UA,1225
JHRlwxxKY0JJcU97rJ-Bug,1225
CgiwCrXs3Ggu9eKFPIgjtA,1223
UUpwoAAZcJyUWOqp81_3mA,1221
4YoVUmkpUBNtdYa804Wzvg,1219
aUoMG97DMJG4nmwhT6z1zA,1219
Bxmhm659VqrQYHc0hiku5w,1215
uYMVRPYEqpmVXWN2xOs5KQ,1213
1Efjww8n7WtKtKTgDqjgdA,1213
H26zRyQkXXYzUZUOtppFcA,1209
K3RURR9lIEE4JjOaPt99zg,1203
26jYcdFR5oLqKDKpTH0JIQ,1196
mcr1lAEdvGLMJhuPwI3I2A,1188
8kh6Z3c8UHQKmsy0_TbOnA,1188
9f5GXEeTvBWnrZ-AHEjgJQ,1188
uZYBF0YTU_iKq4_L_PDtMQ,1187
Ipkx4Sa7ybn8C6LtTqTztw,1185
30cpm1uq6xcQCmN6JTrB8w,1182
-cEFKAznWmI0cledNOIQ7w,1182
EYw42-YsnMr0pbqM5YXRxw,1182
5oX4G1cptixPZecih9L3dg,1182
jMZ56S8Y1t7cA1Ob-d-qeA,1178
j8JOZvfeHEfUWq3gEz6ABQ,1178
gzMlFR9ViVCr_HUYPgqqVg,1171
4R2KR_-FybS7oegGrXjHVg,1169
_zzNQl6ImFw_B64cSdaoGA,1169
E7RtIisUoRMcADSebBgNAA,1169
d_tRshM-w6S4QxE4VVi8tQ,1168
lKU_kljhbEQKIPaM1Zbqiw,1165
iksVwRfpWymIUUFqw0tXpw,1159
vUrTGX_7HxqeoQ_6QCVz6g,1157
eaDZlSuVS0EY67Ke6pRP6Q,1153
Rv8bW3pkzpi5dZu5ckbgtA,1153
a32M9H9nkkPGKTKB5W27NA,1151
_0QZGrg91aaiMhh7tQyYYg,1146
_78Lam9Jd0W6ZmnHTvdjMg,1142
oQ5CPRt0R3AzFvcjNOqB1w,1138
3SM8CZuY5MiAruczCm556w,1136
-0TffRSXXIlBYVbb5AwfTg,1132
hyeo7JQr5uLp-St1MibYAA,1130
WCdSajl5Q0qywpv7K5jHdQ,1130
h7TO_IsmLCYmKKDVOOIeFw,1130
Ss6f5v_t5Vddiaz4ZOxL0g,1127
kVTHnhgYUw-Pmr7wgDB4_g,1127
pWuoHHu0LuVrD0HjadDygg,1126
Meww6RIE4cFL_kG0aRlbAA,1126
SYHDOHRNAH-2xsw3XB5qbg,1125
AlH5V97JSAu7AL_xdibMIg,1125
Ih6_y2nnbg2Jw9Qdc876GA,1122
4gszBjoouIzfi1ltSQZ2BQ,1118
KP5OncF2jhT7_J1phHPPww,1117
Dv6RfXLYe1atjgz3Xf4GGw,1116
fOhnSqmO4XY5vSI8whVKSA,1113
nQeu2F4xOiKoXIp-9engUw,1110
_NozEKb4y0jkC08DWU8ywA,1109
Qlmusk0BBY0kMOd8Y96H4A,1109
UnQriKTiNsYnyPE3Rt8lTQ,1108
6EizP0XyqITuGZ8GZMI9Lw,1104
JvawJ9bSr22xn4R9oLvl_w,1098
CziOtnFSklimJnBgksDDwA,1097
3_WGRjRrnZX2b4ZVpjmL6w,1092
Bg7D8LrsW9XbYlEhT9yekw,1091
zT2OzXDWKK1abapHs2RUrQ,1090
voWjA6zfmXLIbKAoqwBnug,1084
NB5XTBuLVCn7c9Lu5SUqKg,1078
EZc2myE2mYk2h9JK9qu8gw,1078
uR7G8I4Cef9D9R340TN24Q,1076
JUlsvVAvZvGHWFfkKm0nlg,1074
I6L0Zxi5Ww0zEWSAVgngeQ,1074
of-GVqY0G_UDHXT9Xg_ADQ,1070
KlZvP_k_VEJV0G-6tTqnqQ,1069
PWWGbkPC_agn-4s1Hv1W5A,1065
jQBPO3rYkNwIaOdQS5ktgQ,1060
c0F9yKr0bJuQDtG1lzDgmQ,1059
5fSPNlVUBGMExOy9lgFn0A,1058
cmvseNCdevDdxbxlz3KkWw,1057
FryXEasH74MQDnj5Bvz3QA,1056
HKS-63JzfR0DMNVLBuokYw,1055
mtvT7uRey3F395STFRM1Tg,1049
LGYIhGqbYakMMdsn_GCzJg,1045
eCikDKFbaeYVNdCD2beX0Q,1045
ezB8e2rijjViprrcTdIiQQ,1041
0WrdiQ4qJBu2Gc7wRcIfdw,1037
0qu0fNTOsSmuREYVIMPuIQ,1036
gGmqCZtOAUUqWLUJiL-Ydg,1034
w_4xUt-1AyY2ZwKtnjW0Xg,1034
vHr8qhM4CXYB3Ol_9yS6QQ,1033
wm5mQ4cSpvko9WlCq07RFw,1032
NIQWO-Q_F598XlAvZnFVCA,1030
YPTYOQO8Lg9BtHsRwYBY7g,1030
ReVpjIDupK_VMPn7ZxPvOQ,1029
3db1R99-mdSvx3QwryJSNQ,1028
3CFVBCfjdCvESS1ogBv21A,1027
_aKr7POnacW_VizRKBpCiA,1027
wj8XtPyuREj8_0GQz3LZ6w,1025
j8feOxyJqlIJWOi8su2qzw,1025
sr-5EY6bmp4jINhea06MjA,1024
P6ud6vukerhdIqpoejMFqg,1023
