Atmosphere,Amount
'upscale': False,37147
'touristy': False,36931
'romantic': False,36747
'intimate': False,36081
'hipster': False,35822
'divey': False,34324
'trendy': False,34238
'classy': False,31536
'casual': False,20419
'casual': True,17429
'classy': True,5714
u'casual': True,3440
u'upscale': False,3214
u'romantic': False,2951
'trendy': None,2871
u'touristy': False,2833
u'intimate': False,2544
u'divey': False,2479
u'trendy': None,2446
u'hipster': False,2385
u'classy': False,2366
'divey': None,2352
'hipster': None,2266
'intimate': None,2217
u'hipster': None,2065
u'intimate': None,2015
'trendy': True,1896
u'divey': None,1879
'touristy': None,1859
u'classy': None,1828
u'touristy': None,1778
'classy': None,1755
'romantic': None,1670
u'romantic': None,1656
u'trendy': False,1655
u'upscale': None,1435
'upscale': None,1359
'divey': True,1221
'casual': None,1157
u'casual': None,1047
'hipster': True,855
'intimate': True,707
u'trendy': True,612
'romantic': True,588
None,551
u'classy': True,519
'upscale': True,387
u'hipster': True,263
u'divey': True,247
u'casual': False,226
'touristy': True,215
u'intimate': True,154
u'romantic': True,106
u'touristy': True,102
u'upscale': True,64
,4
